date,close,high,low,open
2015-02-23 00:00:00+00:00,211.21,211.21,210.48,210.94
2015-02-24 00:00:00+00:00,211.81,212.05,210.76,211.12
2015-02-25 00:00:00+00:00,211.63,212.24,211.22,211.66
2015-02-26 00:00:00+00:00,211.38,211.71,210.65,211.52
2015-02-27 00:00:00+00:00,210.66,211.58,210.6,211.26
2015-03-02 00:00:00+00:00,211.99,212.06,210.72,210.78
2015-03-03 00:00:00+00:00,211.12,212.05,210.08,211.47
2015-03-04 00:00:00+00:00,210.23,210.49,209.06,210.4
2015-03-05 00:00:00+00:00,210.46,210.8,209.85,210.62
2015-03-06 00:00:00+00:00,207.5,210.46,207.1,210.46
2015-03-09 00:00:00+00:00,208.36,208.79,207.55,207.74
2015-03-10 00:00:00+00:00,204.98,206.81,204.93,206.71
2015-03-11 00:00:00+00:00,204.5,205.5,204.4,205.29
2015-03-12 00:00:00+00:00,207.1,207.18,205.2,205.26
2015-03-13 00:00:00+00:00,205.83,207.93,204.58,206.77
2015-03-16 00:00:00+00:00,208.58,208.69,205.86,206.71
2015-03-17 00:00:00+00:00,207.96,208.42,206.98,207.69
2015-03-18 00:00:00+00:00,210.46,211.27,206.62,207.39
2015-03-19 00:00:00+00:00,209.5,210.47,209.03,209.96
2015-03-20 00:00:00+00:00,210.41,211.02,209.49,209.71
2015-03-23 00:00:00+00:00,210.0,211.11,210.0,210.42
2015-03-24 00:00:00+00:00,208.82,210.4,208.74,209.85
2015-03-25 00:00:00+00:00,205.76,209.35,205.71,209.07
2015-03-26 00:00:00+00:00,205.27,206.37,204.12,204.96
2015-03-27 00:00:00+00:00,205.74,205.95,204.9,205.13
2015-03-30 00:00:00+00:00,208.25,208.61,206.96,206.98
2015-03-31 00:00:00+00:00,206.43,208.1,206.36,207.26
2015-04-01 00:00:00+00:00,205.7,206.43,204.51,206.43
2015-04-02 00:00:00+00:00,206.44,206.98,205.4,205.62
2015-04-06 00:00:00+00:00,207.83,208.45,205.21,206.44
2015-04-07 00:00:00+00:00,207.28,208.76,207.24,207.86
2015-04-08 00:00:00+00:00,207.98,208.51,207.08,207.55
2015-04-09 00:00:00+00:00,208.9,209.18,207.19,207.78
2015-04-10 00:00:00+00:00,210.04,210.09,208.96,209.2
